C	Clicks	Iterative	MAP@10	MAP@15	MAP@20	MAP@5	MAP@50	Model	NDCG	Precision@10	Precision@15	Precision@20	Precision@5	Precision@50	R-Precision	Recall@10	Recall@15	Recall@20	Recall@5	Recall@50	SampleFromAll
1.0	0.12472440944881892	False	0.4977213473315836	0.465596550722535	0.4391271759817504	0.5380734908136482	0.3408588459943385	UCB	0.22148266052957646	0.43275590551181103	0.382992125984252	0.34590551181102364	0.5051968503937008	0.2317165354330709	0.16182602822760372	0.061632410439139314	0.08139557215169432	0.09800439115787056	0.036337328282132215	0.1640247583100468	True
1.0	0.06566929133858268	False	0.5897869641294837	0.5584271392066668	0.5331270062824937	0.6280472440944882	0.4315595874963026	UCB	0.2897416080373373	0.525984251968504	0.4793700787401575	0.4422047244094489	0.5918110236220472	0.3092283464566929	0.22033253865100866	0.07696978041613872	0.10487892339598227	0.1286611919313587	0.04366558745908691	0.22284282230371968	False
2.0	0.1074015748031496	True	0.5297620922384703	0.4942892147222856	0.4659213378393707	0.5747874015748031	0.3605192628472893	UCB	0.2342108281704495	0.4577952755905512	0.4040944881889763	0.36566929133858267	0.5294488188976377	0.24283464566929136	0.1697968931550459	0.06548152213038481	0.08604104830585273	0.10350591799366464	0.03798974443287383	0.17242012003752966	True
2.0	0.06976377952755905	True	0.585028183977003	0.5555144764829804	0.5314640483430066	0.6223044619422573	0.4393236356119331	UCB	0.2992728127966385	0.5258267716535433	0.4781102362204724	0.44763779527559056	0.5833070866141732	0.3268031496062992	0.2316844208642985	0.07646915747336587	0.10379539388122834	0.12928270433533612	0.042747029327902766	0.2351802276399201	False
2.0	0.1366929133858268	False	0.4890236845394326	0.4538497142985332	0.4267705382720528	0.5369553805774279	0.33366143251017005	UCB	0.22035796923369874	0.4159055118110237	0.3653543307086614	0.33314960629921264	0.4866141732283464	0.23184251968503936	0.1619504716642466	0.05897368994879025	0.07748696927866311	0.09433805148774367	0.03464341279360564	0.1647780331576243	True
2.0	0.06661417322834645	False	0.5951607924009499	0.5607315487079266	0.5337054687489282	0.6399422572178477	0.4303683333388987	UCB	0.2893732993054724	0.5204724409448819	0.4750656167979002	0.4390551181102362	0.5974803149606299	0.3078425196850393	0.21893895623393	0.07601534058667557	0.10367240912611207	0.12755107756479636	0.04394482704276535	0.22247857733842674	False
0.0	0.10960629921259844	True	0.5270031871016122	0.4933671044615926	0.46563090706062	0.5659790026246719	0.3600258963259584	Greedy	0.2325772750720489	0.46	0.4055643044619422	0.36874015748031497	0.5281889763779528	0.24069291338582674	0.16879558683196064	0.06560482370911144	0.08622837512560216	0.10426845301965927	0.03810086496828728	0.17078575585121172	True
0.0	0.07118110236220472	True	0.587461317335333	0.5569585264545894	0.5330293526958619	0.6296115485564304	0.4409741201662361	Greedy	0.30090330376299834	0.5239370078740156	0.4829396325459318	0.447007874015748	0.5867716535433071	0.3285669291338583	0.23320049742045576	0.07608510856147721	0.1047507429893323	0.12884381806382805	0.04301344121754038	0.23660307166643696	False
0.0	0.11669291338582675	False	0.5170757405324334	0.48394911999636403	0.4568643303206576	0.5613070866141732	0.3494497654077611	Greedy	0.22394091685243034	0.4470866141732284	0.3993700787401575	0.3601574803149606	0.5171653543307086	0.2302992125984252	0.1607707836446181	0.06365985251788643	0.08502266596989692	0.10163851815121704	0.037195140858928534	0.16242086586625573	True
0.0	0.06551181102362205	False	0.6044924384451943	0.572825431203384	0.5458241326675756	0.643259842519685	0.4407457070754334	Greedy	0.29390774861796565	0.5406299212598425	0.4910236220472442	0.4499212598425197	0.6119685039370079	0.31439370078740153	0.22258690831360906	0.07873821925499318	0.10698837118165434	0.13019550493464704	0.04471764955781577	0.22577577904663826	False
0.0	0.115748031496063	True	0.520806149231346	0.4878830548279367	0.4612072091710569	0.560503937007874	0.3570275270536312	ThompsonSampling	0.2292077468510903	0.4533858267716535	0.4035695538057743	0.3683464566929134	0.5206299212598425	0.23716535433070865	0.16563385723883428	0.06443911560195015	0.08554586319259197	0.10401966063882197	0.03728317724264248	0.16780904948798636	True
0.0	0.07433070866141732	True	0.584398075240595	0.5557927415250249	0.5326122164749271	0.6225879265091863	0.4410388631230469	ThompsonSampling	0.3010103373090421	0.5245669291338583	0.4834645669291338	0.4502362204724409	0.5823622047244094	0.3289763779527559	0.2333934111354101	0.07642666120252692	0.10507677457405804	0.13013091223780687	0.042677741356241784	0.2370004973645129	False
0.0	0.1458267716535433	False	0.4699683164604424	0.4384699718479246	0.4138121049175966	0.5146824146981627	0.3263880273418663	ThompsonSampling	0.21652129395917616	0.4026771653543307	0.35821522309711284	0.3279527559055118	0.4633070866141733	0.22960629921259845	0.16017981858098893	0.05717519532471624	0.07584982280291519	0.092956825608855	0.03337563297412842	0.16287029299653022	True
0.0	0.07480314960629922	False	0.5747082864641919	0.5440066407782943	0.5189860739396983	0.6140314960629921	0.4230194933860293	ThompsonSampling	0.2863823541157856	0.5138582677165354	0.4641469816272966	0.4304724409448819	0.5744881889763779	0.30831496062992125	0.21930878252583752	0.07520900187838232	0.10163031627391407	0.1250297089865255	0.042075653102744255	0.22252842503538112	False
